Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
The Sir William Hotel,Honeymoon Suite,"£1,499","£2,699",45,100,8,18,10
The Nottinghamshire Golf and Country Club,1992,Golf Course,170,210,30,60,Honeymoon Suite,
Manor House Lindley,10,"£7,699","£11,499",60,Country House,150,220,2018
Ketteringham Hall ,More than 50,Garden,400,400,10:00 AM,12:00 PM,2005,
The Vines Hotel,18,£35,£80,20,Pub,60,150,15
The Coleshill Hotel,200,£9,£20,£999,"£3,750",50,120,1900
Redhill Venue,More than 50,Garden,400,400,08:00 AM,03:00 AM,2014,
Wookey Hole Caves,09:00 AM,Museum,200,200,58,4,Honeymoon Suite,100
Haberdashers' Hall,01:00 AM,£150,80,City Hotel,200,450,12:00 PM,
Inn On The Lake,300,£13,£30,"£4,150","£9,500",70,270,12:00 AM
The Admiralty,11:00 AM,£35,£100,City Hotel,86,150,04:00 PM,
Banqueting and Conference Suites at the Kettering Ritz,2011,300,500,14,26,Honeymoon Suite,09:00 AM,
Morden Hall,,Country House,150,150,Yes,,,
BEST WESTERN Park Hall Hotel & Leisure Club,4,£39,"£2,019","£4,150",150,200,92,
De Vere Cheshire Cranage Estate,07:00 AM,£78,280,300,151,1,Honeymoon Suite,2
Sprivers Mansion,09:00 AM,Country House,180,200,5,10,Honeymoon Suite,5
Arley Hall & Gardens,,Stately Home,100,150,,,,
The Swan at Streatley,Honeymoon Suite,£99,Cruise,120,180,20,40,
Butley Priory,10:00 AM,Private House,200,200,5,11,Honeymoon Suite,
Brook Kingston Lodge Hotel,66,£45,£55,25,City Hotel,120,130,1800
Ringsfield Hall,09:00 AM,Country House,70,115,14,50,Standard Room,15
The Mount Somerset Hotel & Spa,108,£45,£105,30,"£8,000","£12,524",50,Between 30 and 50
Yorkshire Heart Vineyard,Between 10 and 30,Garden,140,200,09:00 AM,01:00 AM,2015,
The Cardinals Hatt,68,£35,£85,20,100,200,30,Yes
Gaynes Park,Yes,Barn,150,150,10,20,Honeymoon Suite,
Farmer Copleys,200,£35,£65,"£5,750",50,Barn,120,Yes
Bantham Bash,Yes,Garden,400,500,06:00 AM,12:00 PM,More than 50,
Bamburgh Castle,,"£1,500",Castle,Changing Only,09:00 PM,09:00 PM,More than 50,
The Caledonian Club,39,£60,"£1,050",150,City Hotel,150,200,Yes
Ingleside House,More than 50,Country House,120,150,10:00 AM,12:00 PM,2000,
"The George Hotel, Yarnmouth",,"£4,000","£5,500",40,Yes,,,
Paultons Golf Club,60,"£2,495","£2,495",£65,£120,60,Golf Course,
VAN DYK by Wildes,140,"£2,000","£11,040",40,180,220,69,More than 50
Grange Court,,Country House,10:00 AM,07:00 PM,Between 30 and 50,Yes,,
Duddon Mill Farm,,Garden,400,400,2019,Yes,4,
The Lugger Inn,54,£50,£100,Pub,200,250,20,Yes
Millennium Gallery - Museums Sheffield,Yes,Museum,180,200,09:00 AM,12:00 AM,More than 50,
The Prince Of Wales Southport,200,£15,£17,80,"£1,299","£3,299",50,05:00 AM
Bromley Court Hotel,Yes,£90,£145,30,180,180,1900,
Alexander Pope,1900,Pub,30,40,32,64,Standard Room,
Kenwood Hall Hotel,150,£52,£63,10,"£2,018","£7,995",City Hotel,08:00 AM
One Whitehall Place,More than 50,£125,City Hotel,252,400,282,1970,
Three Choirs Vineyard Wickham,2014,Barn,80,150,Honeymoon Suite,08:00 AM,11:00 PM,
The Chesterfield Mayfair,1984,£115,10,City Hotel,100,140,107,
Blencowe Hall,04:00 PM,£58,Country House,120,22,44,Honeymoon Suite,
Notley Abbey ,11:30 pm,Country House,172,250,9,Honeymoon Suite,11:00 AM,
Sketchley Grange Hotel and Spa,,250,250,102,Honeymoon Suite,More than 50,Yes,
Kelham Island Museum,Yes,Museum,200,200,11:00 AM,12:00 PM,More than 50,
Rotherham Golf Club,120,£10,£38,"£3,495","£4,995",Golf Course,76,More than 50
Humble Grape,12:00 PM,£80,£80,Pub,130,300,09:00 AM,
Stanford Hall,Honeymoon Suite,£35,Country House,90,150,15,50,
Renes of Tynemouth,10:00 AM,£10,£25,12,Tearoom/Cafe Bar,30,30,6
Kirtlington Park,09:00 AM,Stately Home,145,145,5,10,Honeymoon Suite,
Tower House,2015,"£1,295","£4,295",Historical Building,30,60,Changing Only,
Derby County Football Club,12:00 PM,£48,50,Sporting Venue,400,500,08:00 AM,
Minstrel Court,6,"£3,999",60,Garden,145,225,3,More than 50
Weddings in The Woods at Storrs,12:00 PM,"£5,550",50,Garden,80,120,07:00 AM,
Lodge Hill Centre,27,£19,£26,25,Conference Centre,80,150,Less than 10
The Ashbourne Hotel,10:00 am,"£2,960","£10,495",110,200,36,Honeymoon Suite,40
Fabrica,Yes,Arts Centre,130,130,11:00 AM,1996,More than 50,
Brocket Hall Estate,12:30 PM,Country House,150,200,46,88,Honeymoon Suite,2
Brooklands Hotel,Honeymoon Suite,£89,City Hotel,132,200,131,262,
Heacham Manor Hotel,Honeymoon Suite,"£5,550",Country House,100,150,45,100,Yes
Eden Barn,More than 50,Barn,140,200,10:00 AM,12:00 AM,2015,
The View Marquee,"£12,000",£10,£36,£69,£99,80,"£8,000",Between 30 and 50
Stanhill Court,More than 50,£70,Country House,250,250,Honeymoon Suite,1881,
Cockliffe Country House Hotel,130,£60,50,"£2,500",50,Country House,80,Between 30 and 50
,,,,,,,,
Macdonald Ansty Hall Hotel,,£79,120,150,62,More than 50,Yes,
Greenwich Yacht Club,09:00 AM,£69,£120,50,Yacht club ,100,250,
Kingsdown Rectory,Changing Only,£55,"£12,500",60,Country House,125,125,5
Colshaw Hall,01:00 PM,Country House,160,160,18,36,Honeymoon Suite,
Bredbury Hall Hotel and Club,09:00 AM,"£2,600","£5,000",140,200,148,Honeymoon Suite,
The Sharnbrook Hotel,100,£42,£100,30,290,290,42,
The Coach House at Forty Hall,1990,£70,£125,50,Coach House,180,300,
Goosedale,,Events Venue,500,750,More than 50,Yes,,
Leith's at Beaulieu,08:00 AM,£100,£150,30,13th Century Domus,130,140,
Radnage Village Hall,Between 10 and 30,Town Hall,120,120,09:00 AM,11:59 PM,1990,
Science and Industry Museum,,£90,50,Museum,200,250,Yes,
The John Smith's Stadium,01:00 AM,£20,£60,Sporting Venue,360,500,09:00 AM,
The Stafford Hotel,07:00 AM,£120,City Hotel,44,60,104,Honeymoon Suite,
Charingworth Manor Hotel,120,£39,£65,40,"£3,450","£17,995",Country House,09:00 AM
Link Hotel,200,£25,£50,City Hotel,160,200,94,
The Punch Bowl Inn and Restaurant,18,£40,£47,Pub,48,70,9,More than 50
Shillingford Bridge Hotel,41,£40,£70,40,Garden,150,200,1
St Edmund's School,,10:00 AM,10:00 PM,1900,Yes,,,
Honnington Farm,Between 30 and 50,Garden,200,250,09:00 AM,12:00 PM,2009,
The House Meadow,Between 30 and 50,Barn,70,110,09:00 AM,11:00 PM,2012,
"The Daffodil Hotel and Spa, Cumbria",,240,250,78,08:00 AM,More than 50,,
The Common Room,11:00 PM,£90,Museum,120,150,Changing Only,09:00 AM,
The Derby Conference Centre,1991,"£3,500",Conference Centre,200,200,50,Honeymoon Suite,
Rockbeare Manor,,Country House,160,180,13,30,Yes,
Warren House,Between 30 and 50,£135,Country House,100,100,46,Honeymoon Suite,
Fitzleroi Barn,Yes,Barn,120,180,08:00 AM,12:00 AM,More than 50,
Elfordleigh Hotel,180,£40,£45,"£4,800","£8,250",50,Country House,1990
Clumber Park Hotel & Spa,12:00 AM,£85,120,200,73,150,Honeymoon Suite,
De Vere Cotswold Waterpark,07:00 AM,£95,70,450,600,328,2,
Sofitel London St James,Standard Room,£90,60,City Hotel,144,180,183,
Oake Manor Golf Club,1993,£29,Golf Course,120,280,09:00 AM,12:00 AM,
Kirklinton Hall and Gardens,Changing Only,"£3,960","£5,040",150,250,1,4,
Guildhall Winchester,01:00 AM,£950,"£2,950",City Hotel,280,300,09:00 AM,
Pavilion on the Prom,Yes,"£3,000",130,250,103,Honeymoon Suite,More than 50,
Holiday Inn Southampton Eastleigh M3 Jct. 13,Standard Room,"£1,995","£3,995",90,150,129,310,Yes
Beaford Country House,1969,Country House,140,250,9,18,Honeymoon Suite,
No.38 The Park,03:00 PM,Hotel & Private House,56,70,13,26,Honeymoon Suite,
Harry Warren House,,Country House,250,2008,More than 50,Yes,,
Lakeview Manor,02:00 PM,Country House,150,100,15,42,Honeymoon Suite,20
"Hotel du Vin, Tunbridge Wells",12:00 PM,£150,City Hotel,84,100,34,Honeymoon Suite,
Trevenna,2007,Barn,120,150,11,40,Honeymoon Suite,
Thyme,11:00 AM,Country House,30,30,30,60,Honeymoon Suite,10
Pheasantry Brewery,Yes,Brewery,130,220,01:00 AM,2016,More than 50,
DoubleTree by Hilton Kingston upon Thames,300,£59,10,£72,180,260,146,Between 10 and 30
Palm Beach Wellingborough,2012,£600,Community centre,80,730,09:00 AM,04:30 AM,
Thames Steamers Limited ,,Cruise,12,30,01:00 AM,12:00 PM,,
Great Fulford,100,£25,£55,"£12,800","£12,800",80,Stately Home,
Paulton Rovers F.C,,Sporting Venue,200,350,07:00 AM,12:00 PM,,
Cheshunt Marriott Hotel,Honeymoon Suite,£45,£85,40,120,180,143,
The Black Horse Inn,27,£55,£95,50,Pub,70,100,2009
St Bride Foundation,180,£25,£100,"£1,500","£5,000",150,City Hotel,
Pentney Abbey,10:00 AM,abbey,100,100,8,16,Honeymoon Suite,
The Queen's Hall,09:00 AM,£900,"£1,140",220,Village Community Centre,120,220,2
h Club London,01:00 AM,City Hotel,100,150,15,Honeymoon Suite,11:00 AM,
The Greenbank Hotel,116,£70,£80,40,120,120,61,More than 50
The Morritt Arms Hotel,26,"£2,995","£7,995",60,Country House,120,180,
Chichester Yacht Club,12:00 AM,£60,60,Cruise,120,120,09:00 AM,
Hillsborough Stadium,Yes,£8,"£2,499",Sporting Venue,300,300,More than 50,
Coworth Park,More than 50,£205,20,100,100,Standard Room,10:00 AM,
Haldon Belvedere (Lawrence Castle),10:00 AM,Castle,24,65,1,2,Honeymoon Suite,3
Grasmere House Hotel,City Hotel,£55,£65,30,"£4,000","£6,000",70,11:00 PM
Hilton London Croydon,,Honeymoon Suite,10:00 AM,01:00 AM,1900,,,
Woodlands Castle,180,£52,50,"£4,700",100,Castle,180,Yes
Mercure Box Hill Burford Bridge Hotel,08:00 AM,Barn,200,300,57,120,Honeymoon Suite,2
Fowey Hall Hotel,Yes,90,90,36,Honeymoon Suite,1998,More than 50,
Turner Contemporary,,Museum,120,200,,,,
The Vincent Hotel,180,£17,"£3,600","£16,000",40,Hotel,150,Yes
Caley Hall Hotel,,70,120,Honeymoon Suite,Between 10 and 30,Yes,,
Chelmsford City Racecourse,Between 10 and 30,Sporting Venue,300,1000,08:00 AM,01:00 AM,2015,
"Pheasant Hotel, Holt",01:00 AM,100,150,32,64,Honeymoon Suite,12:00 PM,
The Golden Hinde,Between 10 and 30,Cruise,40,120,06:00 AM,12:00 PM,1981,
Bournemouth Highcliff Marriott Hotel,Honeymoon Suite,£59,2,220,300,160,2,Yes
Couch Campo Lane,,Pub,100,100,More than 50,Yes,10,
Calcot & Spa,08:00 AM,Country House,100,120,35,70,Honeymoon Suite,
Forest Events,Yes,Garden,80,499,Standard Room,2012,Between 10 and 30,
Crews Hill Golf Club,,Golf Course,120,180,1916,More than 50,4,
Grittenham Barn,,Barn,120,250,09:00 AM,12:00 PM,,
Primrose Hill Farm,10,£53,"£3,250",Barn,150,180,5,More than 50
East Afton Farmhouse,18,"£5,000","£8,000",Country House,140,180,8,Between 10 and 30
Stonelees Golf Club,08:00 AM,£40,£65,50,Golf Course,90,120,
The Brewers Inn,Yes,£11,24,40,16,08:00 AM,12:00 PM,
King Alfreds Head,,£7,£12,Pub,50,100,,
Saxons Barn,More than 50,Barn,90,120,5,08:00 AM,11:00 PM,
The Golf Hotel,21,£6,£25,60,Golf Course,120,120,1973
Hannafore Point Hotel,08:00 AM,£27,£100,180,180,37,Honeymoon Suite,
Holiday Inn Reading,350,£55,30,City Hotel,220,260,174,More than 50
Compton Club,,80,100,10:00 AM,12:00 PM,Between 30 and 50,,
Leatherhead Golf Club,1903,"£5,250","£6,250",60,Golf Course,88,100,
Barnham Broom Hotel and Golf Club,Honeymoon Suite,£49,Golf Course,150,150,46,92,
Field Place,,Country House,120,150,More than 50,,,
Grays Court,12:00 AM,City Hotel,80,80,12,24,Honeymoon Suite,
Wynyard Golf Club,,Golf Course,120,120,,,,
"The Fox Inn, Stourton",4,£44,£85,40,Pub,110,200,More than 50
ABode Chester,100,£75,40,"£4,000",100,City Hotel,50,
Leathes Head Hotel,11,£60,£130,2,Country House,22,30,
Castlemere Banqueting Hall,Yes,£12,Country House,200,300,1990,More than 50,
Heston Hyde Hotel,More than 50,1000,1000,303,Honeymoon Suite,08:00 AM,01:00 AM,
The Sheridan,Between 10 and 30,£50,Banqueting Venue ,1800,2500,10:00 AM,12:00 PM,
ABode Manchester,100,£64,50,"£3,229",100,City Hotel,50,
Bourne & Hollingsworth,02:00 AM,"£10,000","£18,000",Pub,120,220,10:00 AM,
Siobhan Davies Studios,09:00 AM,"£5,000",200,Museum,150,200,Changing Only,
Didsbury House Hotel,Honeymoon Suite,"£7,000",£50,80,120,27,54,
"The Royal Hotel, Liverpool",26,£20,£30,15,"£1,816",60,70,Yes
"The Windmill, Clapham",,60,80,42,1900,Yes,,
"Manor House School, Bookham ",12:00 PM,"£3,000",110,Country House,110,150,09:00 AM,
Aldwick Estate,10:00 AM,Barn,160,220,5,12,Honeymoon Suite,
The Cresset,1978,Theatre/Conference Centre,500,850,Changing Only,08:00 AM,09:00 PM,
"The Orangery, Settrington",3,Country House,165,4,8,Honeymoon Suite,12:00 PM,
Ruddington Grange Golf Club,120,£25,£30,"£3,175","£5,500",50,Golf Course,Between 30 and 50
Woolley Grange Hotel,Yes,Country House,60,60,25,70,Honeymoon Suite,
High Grosvenor,"£10,000",£35,£65,£80,£100,80,"£7,000",5
Islington Assembly Hall,Between 30 and 50,City Hotel,176,250,Changing Only,02:00 PM,2010,
Wrag Barn Golf and Country Club,,Golf Course,140,200,,,,
The Old Tithe Barn at Bix Manor,"£13,740",£72,£85,£165,£196,70,"£11,580",2
Holiday Inn Milton Keynes East,1900,130,200,52,Honeymoon Suite,11:00 AM,01:00 AM,
The Arches Country House,Honeymoon Suite,"£3,900",Country House,140,140,11,25,Yes
Watersmeet Hotel,09:00 AM,£60,£80,60,80,29,Honeymoon Suite,
Avoncroft Museum of Historic Buildings,1967,£60,£94,40,Museum,120,180,
Holne Park House,Yes,Country House,90,300,22,Honeymoon Suite,More than 50,
The Reading Room,More than 50,Barn,80,110,10:00 AM,12:00 AM,2016,
The Stone House Hotel,115,"£2,500","£4,995",50,120,150,55,
Pimhill Barn at Lea Hall,More than 50,Barn,1,2,Honeymoon Suite,09:00 AM,01:00 AM,
Parish's House,02:00 PM,Marquee & Barn (2020),120,120,2,4,Honeymoon Suite,
Pendley Manor Hotel & Spa,Honeymoon Suite,£95,Country House,180,200,86,172,
Micklefield Hall,08:00 AM,Country House,200,200,6,12,Standard Room,5
The Greenway Hotel & Spa,12:00 PM,£98,Country House,56,120,21,Honeymoon Suite,
Bingham Riverhouse,30,£135,50,City Hotel,90,150,15,
The Manchester Museum,,Museum,160,200,More than 50,Yes,,
Leeds Castle,Standard Room,£150,30,Castle,180,200,22,
New Close Farm Outdoor Wedding Venue,2,Garden,200,200,2018,Less than 10,Yes,
Chelsea Physic Garden,1673,Garden,200,500,Changing Only,10:00 AM,10:00 PM,
Vuk Banqueting Suite,08:00 PM,£45,£90,100,Conference Centre,370,600,
Courthouse Hotel London,,£45,City Hotel,120,140,116,Honeymoon Suite,
Cossington Park,12:00 PM,Country House,200,200,9,22,Standard Room,
"Hog's Back Hotel & Spa, Farnham",150,£60,£80,50,"£3,900","£7,900",160,
Wraysbury Village Halls,More than 50,Town Hall,200,200,09:00 AM,12:00 PM,1973,
"Holiday Inn, Derby/Nottingham",1,80,120,92,Standard Room,More than 50,Yes,
Formby Hall Golf Resort & Spa,10:00 AM,£30,Golf Course,250,300,76,Honeymoon Suite,
Madingley Hall,84,£120,80,Country House,110,160,62,20
Hanbury Wedding Barn,2019,Barn,200,230,Changing Only,08:00 AM,12:00 PM,
BEST WESTERN Oaks Hotel & Leisure Club,,£39,1900,Yes,,,,
Al Duomo,More than 50,£28,£35,30,Pub,90,01:00 AM,
The Customs House,11:00 PM,"£1,600","£4,000",Theatre,100,100,09:00 AM,
Crook Hall and Gardens,08:00 AM,Garden,80,130,2,6,Changing Only,60
Lincoln County Assembly Rooms,,£25,City Hotel,200,200,Yes,,
Sheldrakes Restaurant,3,Pub,140,150,10:00 AM,12:00 PM,More than 50,
Foxfields Country Hotel,12:00 PM,Country House,200,200,44,Honeymoon Suite,09:00 AM,
Roundthorn Country House,Country House,£49,£59,60,"£8,000","£10,000",120,Honeymoon Suite
The Paper Mill,09:00 AM,"£2,500","£7,000",125,Garden,125,125,
Dummer Golf Club,Between 10 and 30,Golf Course,70,120,09:00 AM,12:00 PM,1993,
Southampton City Art Gallery,475,£2,£23,£400,"£3,200",120,Museum,
Manor Mews,,Barn,180,200,40,80,Honeymoon Suite,
The Strathdon Hotel,136,£15,£40,50,200,200,68,Yes
Holiday Inn London Shepperton,80,£59,50,"£3,500","£5,500",50,City Hotel,12:00 PM
Dilhorne Recreation Centre,More than 50,Recreation Centre,140,160,08:00 AM,01:00 AM,1975,
Chiswell Street Dining Rooms,Honeymoon Suite,£30,£150,City Hotel,100,200,200,
Hall Garth Hotel and Country Club,,170,250,Standard Room,Yes,,,
The White Horse,1765,Pub,100,120,15,30,Honeymoon Suite,
Grand Central,01:00 AM,£40,45,Pub,46,90,12:00 PM,
Dillington House,78,£130,60,Country House,150,200,43,
Lakeside International Hotel,Honeymoon Suite,£49,£69,50,150,200,91,
Old Bridge,2012,Country House,200,200,Changing Only,09:00 AM,12:00 PM,
Dalston Hall Hotel,Honeymoon Suite,£65,Castle,300,300,13,30,
Cleatham Hall,2015,Country House,80,120,8,18,Honeymoon Suite,
Roux at Parliament Square,12:00 PM,£125,£200,60,City Hotel,108,150,
The Royal Crescent Hotel,,150,150,1900,Yes,,,
92 Burton Rd,,Warehouse,300,400,09:00 AM,11:00 PM,1900,
Hitchin Priory,Honeymoon Suite,£45,£100,£45,200,300,52,
The Hoste,Pub,"£18,500",£220,16,"£15,000","£25,000",100,01:30 PM
Woodland Valley Farm,2008,working farm ,150,150,8,46,Honeymoon Suite,
"Lakeside, Devon Lakeside",18,120,250,12:00 AM,1900,More than 50,Yes,
Patrick’s Barn ,,,,,,,,
Brighton Unitarian Church,,Place Of Worship,30,50,12:00 PM,1820,Yes,
Alnwick Castle,,£79,Castle,200,180,Yes,2,
Park House Barn,2,Barn,200,250,2013,More than 50,Yes,
Durham Castle,,Castle,200,200,78,Honeymoon Suite,Yes,
Cams Hall Estate Golf Club,More than 50,Golf Course,120,160,Changing Only,12:00 PM,1995,
Holme Pierrepont Hall,,Country House,120,270,,,,
Three Counties Hotel,01:00 AM,300,350,60,120,Honeymoon Suite,06:00 AM,
Brooksby Hall,,Country House,170,,,,,
Abels Harp,,Pub,100,150,,,,
Woodland Manor Hotel,01:00 AM,£30,Country House,100,200,34,Honeymoon Suite,
Canterbury Cathedral Lodge,,£32,£104,City Hotel,120,200,32,
The Woburn Hotel,Yes,Country House,60,60,55,Honeymoon Suite,Between 10 and 30,
The Westcliff Hotel,City Hotel,£52,£64,15,"£2,700","£3,800",50,07:00 AM
Shaw Hill Hotel Golf and Country Club,30,"£4,300","£8,000",60,Golf Course,190,200,
Grafton Manor Hotel,,Country House,170,170,15,34,,
Courteenhall Estate,Between 30 and 50,Country House,1000,1000,Changing Only,12:00 AM,12:00 PM,
Forest Hills Golf Club,Changing Only,£17,£50,50,Golf Course,150,200,Yes
The Tattershall Castle,5,£75,20,Cruise,10:00 AM,2002,Yes,
Skipton Castle,,Castle,80,11:00 AM,04:00 PM,Yes,,
Hotel Maiyango,28,£18,£55,City Hotel,80,120,14,
The Cygnet Hotel,40,£14,£90,100,City Hotel,100,140,Yes
Biddick Hall Lambton Estate,,Country House,120,200,8,Yes,,
Trethorne Hotel and Golf Club,30,£28,£33,25,Golf Course,84,150,10
Mount Pleasant Golf Club,,Golf Course,80,150,Between 10 and 30,,,
"The Old Lodge Hotel, Malton",60,£40,40,Country House,84,100,28,Yes
Gilbey's Eton,12:00 PM,Pub,60,60,1,2,Honeymoon Suite,
Clissold House,Yes,City Hotel,60,80,12:00 PM,2010,More than 50,
Hen House,2000,Private House,150,300,Changing Only,09:00 AM,01:00 AM,
Severn Centre,2004,£6,20,Conference Centre,100,100,12:00 PM,
Nine Adam Street,Less than 10,Conference Centre,150,250,08:00 AM,02:00 AM,2015,
The Old Municipal Buildings,,Town Hall,09:00 AM,05:00 PM,1837,More than 50,Yes,
Peak manor,11:00 AM,Country House,60,85,16,34,Honeymoon Suite,3
Bowhayes Farm,10:00 AM,Garden,100,100,3,6,Honeymoon Suite,2
Tapton Hall,More than 50,City Hotel,200,200,Changing Only,Invalid date,1872,
Baden Hall (Tacklers),150,£25,£90,£50,£300,40,Country House,
"The Factory, Hinckley",More than 50,Warehouse,48,100,11:00 AM,12:00 PM,2005,
Hungarian Hall Events,2008,Garden,250,250,Changing Only,09:00 AM,12:00 AM,
The Old Grammar School,08:00 AM,"£3,000","£8,000",120,Barn,150,200,30
Lords Of The Manor,02:00 PM,£110,Country House,80,150,26,50,
Ashton Farm Barn,1900,Barn,130,150,4,11,Standard Room,
Nancarrow Farm,,Barn,130,160,18,26,,
Toft Country House and Golf Club,20,£67,£75,60,Country House,350,350,More than 50
Old Palace Chester,,Country House,148,200,10,Honeymoon Suite,1900,
Wynnstay Hotel and Spa,180,£38,£46,"£2,850","£6,000",50,150,Yes
"The Grove, Norfolk",1936,Country House,150,150,16,39,Standard Room,
"Ufford Park Hotel, Golf and Spa",More than 50,180,250,90,10:00 AM,12:00 AM,1992,
Liverpool Town Hall,More than 50,Town Hall,210,210,10:00 AM,01:00 AM,2000,
The Gallivant,Standard Room,£80,Coastal venue,100,100,20,45,
The Boathouse On Priory Bay,,Beach,70,70,2,4,Honeymoon Suite,
Greenvue Venue,,Bespoke Wedding Venue,150,200,,,,
Michelham Priory,,Barn,130,1900,,,,
Shiplake College,,£38,Country House,110,200,,,
The Dorchester Hotel,More than 50,£195,40,500,1000,250,1931,
The Potters Heron Hotel,,City Hotel,120,180,53,106,Honeymoon Suite,
